연도,월,상품명,구분,대분류,중분류,월초,건강월초,종신월초,본표포함여부,세부관리여부,설명
2026,02,플러스원_20년_목적종신,목적종신,종신,목적종신,3.4,0.0,3.4,Y,Y,세부관리 상품. 상품 중분류는 목적종신
2026,02,플러스원_20년_일반종신,일반종신,종신,일반종신,1.2,0.0,1.2,Y,Y,세부관리 상품. 상품 중분류는 일반종신
2026,03,가칭신상품_202603_특화형,특화형,건강,특화형,12.8,12.8,0.0,Y,Y,월별 1개 신상품. 상품 중분류는 특화형
2026,03,더퍼스트_순수형,순수형,건강,순수형,9.1,9.1,0.0,Y,Y,세부관리 상품. 상품 중분류는 순수형
2026,03,플러스원_20년_목적종신,목적종신,종신,목적종신,4.1,0.0,4.1,Y,Y,세부관리 상품. 상품 중분류는 목적종신
2026,03,플러스원_20년_일반종신,일반종신,종신,일반종신,1.4,0.0,1.4,Y,Y,세부관리 상품. 상품 중분류는 일반종신
2026,04,가칭신상품_202604_목적종신,목적종신,종신,목적종신,13.8,0.0,13.8,Y,Y,월별 1개 신상품. 상품 중분류는 목적종신
2026,04,더퍼스트_순수형,순수형,건강,순수형,6.4,6.4,0.0,Y,Y,세부관리 상품. 상품 중분류는 순수형
2026,04,플러스원_20년_목적종신,목적종신,종신,목적종신,4.4,0.0,4.4,Y,Y,세부관리 상품. 상품 중분류는 목적종신
2026,04,플러스원_20년_일반종신,일반종신,종신,일반종신,1.6,0.0,1.6,Y,Y,세부관리 상품. 상품 중분류는 일반종신
2026,05,가칭신상품_202605_순수형,순수형,건강,순수형,14.4,14.4,0.0,Y,Y,월별 1개 신상품. 상품 중분류는 순수형
2026,05,더퍼스트_순수형,순수형,건강,순수형,7.0,7.0,0.0,Y,Y,세부관리 상품. 상품 중분류는 순수형
2026,05,플러스원_20년_목적종신,목적종신,종신,목적종신,3.7,0.0,3.7,Y,Y,세부관리 상품. 상품 중분류는 목적종신
2026,05,플러스원_20년_일반종신,일반종신,종신,일반종신,1.3,0.0,1.3,Y,Y,세부관리 상품. 상품 중분류는 일반종신
